Disease_ID,Gene_ID
C0236969,10207
C0236969,114788
C0236969,121601
C0236969,140733
C0236969,23345
C0236969,2898
C0236969,29119
C0236969,4897
C0236969,55198
C0236969,5583
C0236969,84668
C0236969,91752
C0236969,9547
C0003873,10057
C0003873,10125
C0003873,10628
C0003873,117289
C0003873,1404
C0003873,23569
C0003873,23643
C0003873,3059
C0003873,306
C0003873,3394
C0003873,4082
C0003873,4319
C0003873,4321
C0003873,50943
C0003873,5583
C0003873,57007
C0003873,5747
C0003873,5788
C0003873,652
C0003873,7112
C0003873,7185
C0003873,7852
C0003873,79722
C0003873,81567
C0003873,8714
C0003873,8836
C0003873,958
C0019693,10574
C0019693,1192
C0019693,22948
C0019693,3320
C0019693,396
C0019693,4953
C0019693,5685
C0019693,5720
C0019693,5901
C0019693,6426
C0019693,6634
C0019693,7528
C0019693,998
C0010606,221037
C0010606,2264
C0010606,2309
C0010606,259266
C0010606,284058
C0010606,29072
C0010606,3485
C0010606,358
C0010606,3852
C0010606,4082
C0010606,5174
C0010606,54756
C0010606,5591
C0010606,64324
C0010606,93986
C3495559,10769
C3495559,113
C3495559,1843
C3495559,221037
C3495559,25816
C3495559,2812
C3495559,4973
C3495559,5008
C3495559,51338
C3495559,7852
C3495559,8379
C0010346,114548
C0010346,117289
C0010346,1201
C0010346,55765
C0010346,64170
C0010346,79722
C0010346,8477
C0010346,9966
C0023893,216
C0023893,23600
C0023893,2645
C0023893,2690
C0023893,3485
C0023893,4311
C0023893,4322
C0023893,5008
C0023893,5105
C0023893,5340
C0023893,655
C0023893,8431
C0009404,10057
C0009404,10135
C0009404,10297
C0009404,10457
C0009404,1404
C0009404,1630
C0009404,201163
C0009404,23345
C0009404,23600
C0009404,23643
C0009404,284217
C0009404,2947
C0009404,368
C0009404,4897
C0009404,4953
C0009404,5268
C0009404,5320
C0009404,54739
C0009404,5587
C0009404,57007
C0009404,57016
C0009404,6241
C0009404,6422
C0009404,6423
C0009404,652
C0009404,811
C0009404,8667
C0009404,8714
C0009404,8741
C0009404,8836
C0009404,9156
C0024667,1019
C0024667,10769
C0024667,1266
C0024667,1289
C0024667,1848
C0024667,1915
C0024667,2180
C0024667,23569
C0024667,2628
C0024667,2678
C0024667,2771
C0024667,3400
C0024667,358
C0024667,3852
C0024667,3925
C0024667,4072
C0024667,4254
C0024667,4256
C0024667,5037
C0024667,5045
C0024667,5315
C0024667,5618
C0024667,5685
C0024667,5720
C0024667,5731
C0024667,5901
C0024667,5921
C0024667,5947
C0024667,6128
C0024667,6277
C0024667,6319
C0024667,644076
C0024667,6446
C0024667,6623
C0024667,6634
C0024667,6662
C0024667,7086
C0024667,7091
C0024667,7170
C0024667,7227
C0024667,7430
C0024667,7534
C0024667,8673
C0024667,8848
C0024667,9019
C0024667,998
C0024668,1019
C0024668,10769
C0024668,1266
C0024668,1289
C0024668,1848
C0024668,1915
C0024668,2180
C0024668,23569
C0024668,2628
C0024668,2678
C0024668,2771
C0024668,3397
C0024668,3400
C0024668,358
C0024668,3852
C0024668,3925
C0024668,4072
C0024668,4254
C0024668,4256
C0024668,5037
C0024668,5045
C0024668,5315
C0024668,5609
C0024668,5618
C0024668,5685
C0024668,5720
C0024668,5731
C0024668,5901
C0024668,5921
C0024668,5947
C0024668,6128
C0024668,6277
C0024668,6319
C0024668,644076
C0024668,6446
C0024668,6623
C0024668,6634
C0024668,6662
C0024668,7086
C0024668,7091
C0024668,7170
C0024668,7227
C0024668,7430
