"Attribute","AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"Gene_Attribute","1.5454545454545454","0.02714416896235078","Outlier","0.6470588235294118","0.6","5","10","2","false","10125","6.6","0","5","0","0.9454545454545455","false","0","10125","14","0.6"
"Gene_Attribute","1.7272727272727273","0.02121212121212121","Outlier","0.5789473684210527","0.6","5","10","3","false","4321","5.6","0","5","0","0.9272727272727274","false","0","4321","8","0.6222222222222222"
"Gene_Attribute","1.4545454545454546","0.042295684113865924","Outlier","0.6875","0.6","6","18","2","false","5618","6.166666666666667","0","6","0","0.9545454545454545","false","0","5618","18","0.5606060606060606"
"Gene_Attribute","1.6363636363636365","0.007309458218549128","Outlier","0.611111111111111","0.8333333333333334","4","12","2","false","2180","7.0","0","4","0","0.9363636363636363","false","0","2180","6","0.6363636363636364"
"Gene_Attribute","1.3636363636363635","0.07374655647382919","Outlier","0.7333333333333334","0.5714285714285714","7","18","2","false","7170","6.428571428571429","0","7","0","0.9636363636363636","false","0","7170","30","0.5844155844155844"
"Gene_Attribute","1.4545454545454546","0.04950413223140495","Outlier","0.6875","0.6","6","12","2","false","4319","6.833333333333333","0","6","0","0.9545454545454545","false","0","4319","24","0.6212121212121212"
"Gene_Attribute","1.4545454545454546","0.04573002754820935","Outlier","0.6875","0.6","6","12","2","false","2690","6.666666666666667","0","6","0","0.9545454545454545","false","0","2690","16","0.6060606060606061"
"Gene_Attribute","1.0909090909090908","0.21988062442607897","Outlier","0.9166666666666667","0.4666666666666667","10","28","2","false","8648","5.7","0","10","0","0.990909090909091","false","0","8648","68","0.5181818181818182"
"Gene_Attribute","1.3636363636363635","0.04522497704315886","Outlier","0.7333333333333334","0.6666666666666666","7","20","2","false","2886","6.428571428571429","0","7","0","0.9636363636363636","false","0","2886","22","0.5844155844155844"
"Gene_Attribute","1.6363636363636365","0.004545454545454545","Outlier","0.611111111111111","0.9","5","16","3","false","26227","6.8","0","5","0","0.9363636363636363","false","0","26227","2","0.68"
"Gene_Attribute","1.3636363636363635","0.04522497704315886","Outlier","0.7333333333333334","0.6666666666666666","7","20","2","false","1789","6.428571428571429","0","7","0","0.9636363636363636","false","0","1789","22","0.5844155844155844"
"Gene_Attribute","1.7272727272727273","0.0","Outlier","0.5789473684210527","1.0","4","8","3","false","898","7.25","0","4","0","0.9272727272727274","false","0","898","0","0.725"
