"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"11.833333333333332","interacts with","C0001418 (interacts with) C0007134","false","interacts with","C0001418 (interacts with) C0007134"
"24.506060606060604","interacts with","C0001418 (interacts with) C1458155","false","interacts with","C0001418 (interacts with) C1458155"
"7.633333333333333","interacts with","C0001418 (interacts with) C0024121","false","interacts with","C0001418 (interacts with) C0024121"
"18.644155844155843","interacts with","C0001418 (interacts with) C0033578","false","interacts with","C0001418 (interacts with) C0033578"
"68.91212121212122","interacts with","C0014175 (interacts with) C1458155","false","interacts with","C0014175 (interacts with) C1458155"
"8.7","interacts with","C0014175 (interacts with) C0027627","false","interacts with","C0014175 (interacts with) C0027627"
"25.71212121212121","interacts with","C0014175 (interacts with) C0033578","false","interacts with","C0014175 (interacts with) C0033578"
"14.666666666666666","interacts with","C0014175 (interacts with) C0024668","false","interacts with","C0014175 (interacts with) C0024668"
"19.96666666666666","interacts with","C0014175 (interacts with) C0024667","false","interacts with","C0014175 (interacts with) C0024667"
"30.666666666666668","interacts with","C0014175 (interacts with) C0023467","false","interacts with","C0014175 (interacts with) C0023467"
"12.666666666666666","interacts with","C0014175 (interacts with) C0031117","false","interacts with","C0014175 (interacts with) C0031117"
"10.4","interacts with","C0004352 (interacts with) C0014175","false","interacts with","C0004352 (interacts with) C0014175"
"18.43809523809524","interacts with","C0004352 (interacts with) C0024668","false","interacts with","C0004352 (interacts with) C0024668"
"17.63809523809524","interacts with","C0004352 (interacts with) C0024667","false","interacts with","C0004352 (interacts with) C0024667"
"8.533333333333331","interacts with","C0004352 (interacts with) C0031117","false","interacts with","C0004352 (interacts with) C0031117"
"13.39047619047619","interacts with","C0004352 (interacts with) C0151744","false","interacts with","C0004352 (interacts with) C0151744"
"25.97272727272727","interacts with","C0004352 (interacts with) C0033578","false","interacts with","C0004352 (interacts with) C0033578"
"13.39047619047619","interacts with","C0004352 (interacts with) C0023893","false","interacts with","C0004352 (interacts with) C0023893"
"80.41818181818182","interacts with","C0024668 (interacts with) C1458155","false","interacts with","C0024668 (interacts with) C1458155"
"13.5","interacts with","C0024668 (interacts with) C0027627","false","interacts with","C0024668 (interacts with) C0027627"
"40.856277056277065","interacts with","C0024668 (interacts with) C0033578","false","interacts with","C0024668 (interacts with) C0033578"
"13.877777777777776","interacts with","C0024668 (interacts with) C0038356","false","interacts with","C0024668 (interacts with) C0038356"
"39.083333333333336","interacts with","C0024668 (interacts with) C0028754","false","interacts with","C0024668 (interacts with) C0028754"
"23.111111111111107","interacts with","C0024667 (interacts with) C0038356","false","interacts with","C0024667 (interacts with) C0038356"
"13.166666666666668","interacts with","C0024667 (interacts with) C0028754","false","interacts with","C0024667 (interacts with) C0028754"
"6.9","interacts with","C0024667 (interacts with) C0024668","false","interacts with","C0024667 (interacts with) C0024668"
"9.75","interacts with","C0017661 (interacts with) C0028754","false","interacts with","C0017661 (interacts with) C0028754"
"30.645454545454548","interacts with","C0017661 (interacts with) C0024668","false","interacts with","C0017661 (interacts with) C0024668"
"7.2","interacts with","C0017661 (interacts with) C0024667","false","interacts with","C0017661 (interacts with) C0024667"
"9.045454545454547","interacts with","C0002395 (interacts with) C0017661","false","interacts with","C0002395 (interacts with) C0017661"
"14.469696969696974","interacts with","C0002395 (interacts with) C0009375","false","interacts with","C0002395 (interacts with) C0009375"
"28.287878787878785","interacts with","C0002395 (interacts with) C0003873","false","interacts with","C0002395 (interacts with) C0003873"
"21.72799422799423","interacts with","C0009375 (interacts with) C0038356","false","interacts with","C0009375 (interacts with) C0038356"
"15.021645021645021","interacts with","C0009375 (interacts with) C0024668","false","interacts with","C0009375 (interacts with) C0024668"
"6.1380952380952385","interacts with","C0009375 (interacts with) C0024667","false","interacts with","C0009375 (interacts with) C0024667"
"5.5","interacts with","C0009375 (interacts with) C0017661","false","interacts with","C0009375 (interacts with) C0017661"
"25.366666666666664","interacts with","C0003873 (interacts with) C0017661","false","interacts with","C0003873 (interacts with) C0017661"
"13.304761904761904","interacts with","C0003873 (interacts with) C0009375","false","interacts with","C0003873 (interacts with) C0009375"
"26.289898989898994","interacts with","C0003873 (interacts with) C0038356","false","interacts with","C0003873 (interacts with) C0038356"
"18.6","interacts with","C0003873 (interacts with) C0004096","false","interacts with","C0003873 (interacts with) C0004096"
"26.33434343434343","interacts with","C0003873 (interacts with) C0024121","false","interacts with","C0003873 (interacts with) C0024121"
"15.278787878787877","interacts with","C0003873 (interacts with) C0027627","false","interacts with","C0003873 (interacts with) C0027627"
"13.378787878787877","interacts with","C0003873 (interacts with) C0014175","false","interacts with","C0003873 (interacts with) C0014175"
"19.583333333333336","interacts with","C0003873 (interacts with) C0011860","false","interacts with","C0003873 (interacts with) C0011860"
"19.583333333333336","interacts with","C0003873 (interacts with) C0023467","false","interacts with","C0003873 (interacts with) C0023467"
"24.74415584415584","interacts with","C0003873 (interacts with) C0031117","false","interacts with","C0003873 (interacts with) C0031117"
"18.44545454545455","interacts with","C0000786 (interacts with) C0014175","false","interacts with","C0000786 (interacts with) C0014175"
"17.21082251082251","interacts with","C0000786 (interacts with) C0004352","false","interacts with","C0000786 (interacts with) C0004352"
"17.94545454545455","interacts with","C0000786 (interacts with) C0024668","false","interacts with","C0000786 (interacts with) C0024668"
"6.233333333333332","interacts with","C0000786 (interacts with) C0024667","false","interacts with","C0000786 (interacts with) C0024667"
"5.300000000000001","interacts with","C0000786 (interacts with) C0017661","false","interacts with","C0000786 (interacts with) C0017661"
"12.196969696969694","interacts with","C0000786 (interacts with) C0002395","false","interacts with","C0000786 (interacts with) C0002395"
"5.57142857142857","interacts with","C0000786 (interacts with) C0009375","false","interacts with","C0000786 (interacts with) C0009375"
"12.099999999999998","interacts with","C0000786 (interacts with) C0003873","false","interacts with","C0000786 (interacts with) C0003873"
